vars, clauses,sat,conflicts,decisions,propagations,switched
25, 5,1.0,0.0,0.0,12.056,0.0
25, 10,1.0,0.0,0.0,18.394,0.0
25, 15,1.0,0.0,0.0,21.553,0.0
25, 20,1.0,0.0,0.0,23.243,0.0
25, 25,1.0,0.0,0.0,24.08,0.0
25, 30,1.0,0.0,0.0,24.611,0.0
25, 35,1.0,0.0,0.0,24.883,0.0
25, 40,1.0,0.0,0.0,25.199,0.0
25, 45,1.0,0.0,0.0,25.398,0.0
25, 50,1.0,0.0,0.0,25.752,0.0
25, 55,1.0,0.0,0.0,26.01,0.0
25, 60,1.0,0.0,0.0,26.471,0.0
25, 65,1.0,0.0,0.0,27.371,0.0
25, 70,1.0,0.0,0.0,28.024,0.0
25, 75,1.0,0.0,0.0,29.611,0.0
25, 80,1.0,0.0,0.0,30.866,0.0
25, 85,1.0,0.0,0.0,33.309,0.0
25, 90,0.999,0.001,0.012,34.844,0.0
25, 95,1.0,0.002,0.036,40.171,0.0
25, 100,1.0,0.01,0.035,43.026,0.0
25, 105,1.0,0.019,0.116,51.306,0.0
25, 110,0.991,0.043,0.138,59.124,0.0
25, 115,0.988,0.025,0.092,69.026,0.0
25, 120,0.979,0.019,0.059,75.501,0.0
25, 125,0.94,0.018,0.091,90.398,0.0
25, 130,0.911,0.054,0.083,99.19,0.0
25, 135,0.816,0.001,0.022,110.469,0.0
25, 140,0.758,0.0,0.0,120.483,0.0
25, 145,0.7,0.001,0.0,128.006,0.0
25, 150,0.561,0.0,0.0,134.242,0.0
25, 155,0.463,0.0,0.0,140.075,0.0
25, 160,0.386,0.0,0.0,141.123,0.0
25, 165,0.296,0.0,0.0,145.788,0.0
25, 170,0.218,0.001,0.0,145.691,0.0
25, 175,0.187,0.0,0.0,146.142,0.0
25, 180,0.119,0.001,0.0,141.928,0.0
25, 185,0.084,0.003,0.0,143.063,0.0
25, 190,0.06,0.003,0.0,142.468,0.0
25, 195,0.031,0.001,0.0,140.892,0.0
25, 200,0.024,0.001,0.0,139.508,0.0
25, 205,0.013,0.001,0.0,136.966,0.0
25, 210,0.016,0.0,0.0,136.777,0.0
25, 215,0.008,0.006,0.0,133.305,0.0
25, 220,0.009,0.001,0.0,133.159,0.0
25, 225,0.002,0.002,0.0,130.503,0.0
25, 230,0.004,0.003,0.0,127.788,0.0
25, 235,0.002,0.002,0.0,125.019,0.0
25, 240,0.0,0.005,0.0,123.973,0.0
25, 245,0.0,0.003,0.0,123.22,0.0
50, 10,1.0,0.0,0.0,24.643,0.0
50, 20,1.0,0.0,0.0,37.189,0.0
50, 30,1.0,0.0,0.0,43.604,0.0
50, 40,1.0,0.0,0.0,46.697,0.0
50, 50,1.0,0.0,0.0,48.359,0.0
50, 60,1.0,0.0,0.0,49.261,0.0
50, 70,1.0,0.0,0.0,49.845,0.0
50, 80,1.0,0.0,0.0,50.179,0.0
50, 90,1.0,0.0,0.0,50.566,0.0
50, 100,1.0,0.0,0.0,51.148,0.0
50, 110,1.0,0.0,0.0,51.27,0.0
50, 120,1.0,0.0,0.0,53.125,0.0
50, 130,1.0,0.0,0.0,54.333,0.0
50, 140,1.0,0.0,0.0,56.234,0.0
50, 150,1.0,0.0,0.0,59.926,0.0
50, 160,1.0,0.0,0.0,64.111,0.0
50, 170,1.0,0.0,0.0,72.209,0.0
50, 180,1.0,0.016,0.129,81.319,0.0
50, 190,1.0,0.129,0.589,100.395,0.0
50, 200,1.0,0.338,1.485,131.174,0.0
50, 210,1.0,0.939,2.846,177.217,0.0
50, 220,1.0,1.963,5.18,235.033,0.0
50, 230,1.0,3.586,8.345,314.066,0.0
50, 240,0.999,5.174,11.017,387.437,0.0
50, 250,0.994,4.706,9.516,392.003,0.0
50, 260,0.97,4.244,7.69,395.221,0.0
50, 270,0.912,2.44,4.729,372.452,0.0
50, 280,0.825,1.228,2.401,353.078,0.0
50, 290,0.68,0.495,1.069,335.975,0.0
50, 300,0.532,0.176,0.373,323.904,0.0
50, 310,0.395,0.034,0.11,311.403,0.0
50, 320,0.237,0.0,0.0,301.121,0.0
50, 330,0.14,0.0,0.0,292.631,0.0
50, 340,0.064,0.0,0.0,281.948,0.0
50, 350,0.04,0.0,0.0,278.06,0.0
50, 360,0.026,0.0,0.0,272.224,0.0
50, 370,0.012,0.0,0.0,265.978,0.0
50, 380,0.004,0.0,0.0,263.185,0.0
50, 390,0.002,0.0,0.0,260.252,0.0
50, 400,0.002,0.0,0.0,257.366,0.0
50, 410,0.001,0.0,0.0,258.09,0.0
50, 420,0.0,0.0,0.0,254.884,0.0
50, 430,0.0,0.0,0.0,253.054,0.0
50, 440,0.001,0.0,0.0,250.33,0.0
50, 450,0.0,0.0,0.0,248.36,0.0
50, 460,0.0,0.0,0.0,246.838,0.0
50, 470,0.0,0.0,0.0,246.113,0.0
50, 480,0.0,0.0,0.0,242.731,0.0
50, 490,0.0,0.0,0.0,241.595,0.0
75, 15,1.0,0.0,0.0,37.405,0.0
75, 30,1.0,0.0,0.0,55.98,0.0
75, 45,1.0,0.0,0.0,65.515,0.0
75, 60,1.0,0.0,0.0,70.334,0.0
75, 75,1.0,0.0,0.0,72.641,0.0
75, 90,1.0,0.0,0.0,73.987,0.0
75, 105,1.0,0.0,0.0,74.647,0.0
75, 120,1.0,0.0,0.0,75.129,0.0
75, 135,1.0,0.0,0.0,75.702,0.0
75, 150,1.0,0.0,0.0,76.238,0.0
75, 165,1.0,0.0,0.0,77.381,0.0
75, 180,1.0,0.0,0.0,78.431,0.0
75, 195,1.0,0.0,0.0,81.634,0.0
75, 210,1.0,0.0,0.0,84.439,0.0
75, 225,1.0,0.0,0.0,89.259,0.0
75, 240,1.0,0.002,0.104,102.31,0.0
75, 255,1.0,0.006,0.104,115.912,0.0
75, 270,1.0,0.03,0.364,134.684,0.0
75, 285,1.0,0.178,1.427,177.246,0.0
75, 300,1.0,0.998,4.137,258.501,0.0
75, 315,1.0,2.814,9.363,398.383,0.0
75, 330,1.0,7.023,17.331,565.337,0.0
75, 345,1.0,15.703,29.863,821.498,0.0
75, 360,1.0,26.284,44.538,1100.733,0.0
75, 375,1.0,54.45,78.735,1686.593,0.0
75, 390,0.99,91.984,122.597,2410.958,0.0
75, 405,0.969,144.347,185.563,3373.617,0.006
75, 420,0.882,196.852,245.292,4301.112,0.011
75, 435,0.707,240.193,291.543,5004.361,0.023
75, 450,0.521,267.331,317.835,5412.319,0.026
75, 465,0.295,208.013,242.702,4229.126,0.015
75, 480,0.155,148.882,173.312,3112.99,0.007
75, 495,0.075,105.101,118.639,2268.99,0.007
75, 510,0.026,50.041,56.11,1280.874,0.0
75, 525,0.008,27.354,30.297,878.188,0.0
75, 540,0.005,12.25,13.409,603.041,0.0
75, 555,0.0,4.431,4.778,461.897,0.0
75, 570,0.0,2.437,2.675,422.661,0.0
75, 585,0.0,0.689,0.754,385.468,0.0
75, 600,0.0,0.226,0.228,372.978,0.0
75, 615,0.0,0.0,0.0,368.353,0.0
75, 630,0.0,0.477,0.518,371.762,0.0
75, 645,0.0,0.0,0.0,359.444,0.0
75, 660,0.0,0.0,0.0,357.672,0.0
75, 675,0.0,0.0,0.0,356.739,0.0
75, 690,0.0,0.0,0.0,353.248,0.0
75, 705,0.0,0.0,0.0,349.806,0.0
75, 720,0.0,0.0,0.0,346.651,0.0
75, 735,0.0,0.0,0.0,345.597,0.0
